TTBT62,514c
RLDH92,431c
HFFR75,121
ZRSK88,B14
VTYK71,216
PTVP50,206c
FVHV92,G09
XYKJ96,F30
TGHK53,E14
RLFC30,I03c
PWYV51,411
JHTB93,C10e
GBYS46,B09
KXFS57,117c
XDBK61,119
YKLV60,I09c
SKFX75,F07
PBVJ87,B10
BSBX91,126
PKWP79,516
GXWT41,107c
WPJH72,422c
DSFR29,D08
DHTC55,118
GRBJ56,B20
PGTG60,I21
VHXP75,504
LWKK50,110c
WTYW78,E11
ZDJL97,212
JPCP28,101
PGWR96,I09c
RKGV67,C02c
KXRR89,G01c
HBCP64,301
CFKC92,208
SXKF49,F15
GZLD72,F10
XPYK78,385
LBKV83,G01
PXSZ83,313e
BFGP47,G18
VKYH86,F03c
JSBR25,E03
GBFX11,F16
TZSB30,E02
DWXY32,C02
HXHC76,J19
ZWHD19,J13c
WKZP76,108
BHJB10,506v
XXKT37,J01c
YLGW42,B17
DYWC31,712n
HPBG37,I14
JKDW65,B26
PYJG54,C15
HZFC33,B23
HZLV93,C07
LFPB67,B32
FFHJ18,107c
HRZR29,J2
VTDZ70,413c
PRTZ40,424
JJHY21,308
XBRF60,F27
KHHG52,D17v
WZLP30,J05
TCPG84,J15c
RKRK86,204n
VGBD67,115
GKXV60,I09e
BZPX97,111
GLHV32,428e
DZXG76,313e
HRTR33,E08
WLGC82,G07
SXBH55,C09
VZPK54,I10
GTFP83,E18
HVDP74,I14n
DTJR42,385
KBST10,B11
HSCH87,I11
RXSS75,J17
KRTG11,G05
WJPX71,G22
HTDF52,B17
SFZS64,410
PGBS34,J13c
DWHD95,429
DTBP37,H14
FLPB32,C10e
TTTX96,345
KGDK73,B29
ZGPR17,F01
CLTC75,F09
BDDL40,214
KJRT69,J13
WZJR25,B13
GJLT43,307c
ZHGJ83,405
HXWY68,118
HLSH49,I13
WJVX92,408e
TRDS96,221e
HSPJ28,210
ZJGS46,514
JFWG19,109n
PRDG51,H14
LRKZ14,I03
FGJH98,J2
HGGK22,501
CVRW24,514
YBWK45,424
FDXD54,E09
SWYD17,I20
JVHX78,F30
VPPF70,417e
YJBY52,109n
DBSC18,113
RXVR15,429
GCXH48,402
JGWF78,J06
RXDH17,307e
STVX71,E16
HFRD22,F05
XYJX63,H05
ZJHJ10,J18
YYWF43,F08
ZBFK70,B08
ZJTK64,116
WZKY93,B18
KDSH24,C08
XZWX88,103
JHBJ22,I08c
FLDP21,428e
RSSH41,B23
ZBVW85,428c
CXPP91,J07e
XRLV12,F18
TZBS72,428c
XKFL64,B01
BSVP57,105c
FLSW98,I05
LKTS54,313e
BLFP53,B14
VCTD55,E06
XWFV54,I14n
BJPT57,410
WFRD53,F01c
DWSF24,B09
XYXC33,B16
LJJV27,104
LSGP48,208c
WYGT92,422
DJSC64,B02
SPDB34,I09c
GPTJ35,F24
HZCF49,B05
TWHL83,E10
XZZL27,F09
VSBX18,229
RZDY98,C02
DWTL70,519
DJFS94,B12c
ZZSG16,205
HBWK38,C03
ZZBD74,272
FLDC61,307e
SFTK62,I03c
CGGF42,414e
FCKK86,J18
WLFZ48,G07
RPJZ58,322
KJBK83,106
FXXP12,B14
XZLG38,H12
CKHH49,D10
FJVH52,C03
FDWF29,301c
PWKL25,104
XXRS38,F15
FDKY91,G12
WYCD49,262n
TTTR25,I22
KXVH39,D03c
RZSL29,514
FLHK29,507
VKXK53,C11
PRKB67,F01c
HYXW87,712n
SFRP63,423
TCHX28,C18
VZPL62,109n
JGYP68,J04
KCWG60,F26
PSGF19,J16
BLRT87,B30n
PYZG60,504
XDRH14,307
LXRX98,429
GDYJ49,205c
DVCG43,405c
CVTL95,517
WXKL93,106
PVHR75,F10
XZFZ65,401c
VXBC50,401
TKCZ43,B02
GTCY17,E11
JJSB36,121
CYSK33,217e
YYPT22,208c
FPHS77,F27
CSCT57,H13
RTTY28,435
CLYT63,C02
BCCR33,109
JHBC27,321
DSRF45,I09
GBGP98,B08
DZFF46,H14
PSZD68,345
RHWT87,405c
WWRG84,G05
XFJH32,H14
TFHS24,I24
CKFW13,B23
JHKX80,J07
JPLX41,408e
PVXF62,271
GYKD10,417e
SLHD38,C22
ZFLG68,118
VWDH75,435
GCHY73,C09
RPHX14,E12
ZWJC40,I08
FHRC24,D07c
ZTRW11,J13
WGTY55,B10
DRSP31,103
YCHD63,D17v
PPPS21,113
GCXV43,D07c
JSKC78,C12
BRWJ37,G13
LBHL40,F12c
KBYG71,I17
DSHL63,I02
ZPBP17,E04
SYGH58,229
VBGT49,G22
VXKV42,H14
JGCD39,272
DYCZ92,B08
JWVR76,E04
BLPV42,E18
XWWT35,F05
LZLV66,204n
YPDW78,I25
PBXD98,J01c
CSPX96,410
DVVG36,G08v
ZTBK79,514
RTCD99,I07
JLBK57,E07
SYBS76,G08
ZLVJ61,I18
RWTT19,C07
BLCH91,J10
LGZP12,102
WFDG58,J08
KRWJ67,F19
JYVR46,J13c
SHJJ57,208
PSTR68,2234
VDBS89,313e
HZBD79,307e
KCHT15,H07
SCPX21,430
VYKC44,315e
FVCK56,2234
JKXY38,J06
GVTP78,120
TZBZ76,417e
TYCS89,B32
CHYD74,B08
FRBF80,I11n
VXXC96,B02
KHPC43,430
XZDK56,119
KRFT44,547e
HZDK63,D09
BVJC61,B30n
WHXR43,G01
HBZH90,D01
FSFL38,H08
SGFL98,G12
CHSL52,H02
SGPH74,F16
PXRL25,I18
JYFX58,C20
GKHG53,H05
YHZV54,272
KZSR84,G01c
BPPL68,314c
WPPC55,303
PSBP34,C09
GHCZ57,106
SYWB40,I14
XKXW33,481
XTVX81,426
YCLV87,C02c
DHPW94,I21
SJKD42,2234
CGJR74,F05
YHKD14,G13
DKBR26,105
KKPB10,C05
FKGT72,C15
XWLV70,228
YLHT15,C05
PPHR31,F15
JTYT26,225
GCTX43,J07c
JSFL17,D15
FSHH65,H13
JJWK86,F14
JXZT98,429c
XGTL76,B11
ZGGP31,506
WTGY66,E16
HGZR55,C08
CKDL86,I04c
GYHJ56,322
WHRV88,506v
JHDR37,J17
WZVY11,E12
JFTG98,417e
HBGH57,117
CJHB87,404
RRHV73,516
RCTC56,D17
TSZB38,422
TDKS45,712n
SSBC87,D03
FKJW84,323
JLVC91,224c
CYST16,E03
KVBG87,I02
SKVT32,I20
GJYT88,D17
JYBL87,G09
VPGL74,712
PHDR81,117c
TDKZ97,301
WJBX76,I01
PCHP52,203c
YLSK25,D01
GCRW93,109n
BCDG35,H04
XXVJ33,510
SRTW26,272
SFFK17,J16
DGKG78,228
SKXB41,C05
RWXT20,E16
ZHZF25,C15
KWPF10,407
XCYY89,210v
PCDZ31,203
XLDD85,430
PLTT81,H13
BCXL23,I14
KTJC21,H14
BLSV71,H14
KGCV22,C02c
RVYC54,J01c
ZCRD28,C05
DJXW28,203e
DVBL70,B03
LWHJ86,B29
TSYW51,516
LXLW57,B27
GLBW29,B04
SWKH52,G22
GPXG38,113
HZSH89,203c
PRWX86,J07e
PFFT42,315e
SPFC58,I21
GGPH41,B27
BVPX26,I10
TKCJ43,403
STGK63,J01
HDYH98,B30n
VSBS25,G22
RDPY42,E06
CTBR79,201e
LHXG95,E16
WTCC31,I01
BPSB72,E06
HGHR43,D07c
PTZC86,519
LTBC53,206c
GCYT87,J2
SRRP42,B30n
GDGY97,514
DSYF89,E07
DZFT36,I09e
DLTG95,B32
YWZK89,432n
SRSJ82,104
BLSC77,B05
SYZZ70,385
WRSC38,102
YKTD71,F05
BKLR95,410
XSBD96,C05
FTCX32,214
JLFC37,B05
SHZH92,D03
LBFG17,J11
GBRK13,I25
TCVZ13,120
VVDG72,I09
LFWZ35,426
HWTJ20,208
WPPG81,G13
ZDHK45,116
XLKB27,J17
VVXP12,F13c
GWYP89,516
XSSD70,I08c
JYRG84,F10
WBRL22,D20
YWBJ88,F03
XBZJ67,G04
HBYK52,B16
LLTX70,481
VSXL94,B07
THRC99,C06
VCYH47,F02
XPGF96,B32
WZGC82,425
HWZD33,423
LGDJ54,410
LHDZ39,117
RTFH78,314c
KLCC26,203c
JCKY22,J07c
LWZY40,D15
GZJY79,F27
XPVP98,I21
WSHW19,I03
PPDJ72,204n
VSVC79,314
LTPZ87,E13
WTHJ22,F01c
RTJP76,D17
ZFJF78,I04e
PWZZ69,405
FCXF38,225
WXFC66,321
FGVG75,223
HCJG83,B18
DYDY85,313e
GPJR93,E11
WDCL27,J06
TSBL18,D20
LFGX64,105c
GDPD40,C01c
RDXC63,J2
CDYL37,307e
HTHL54,228
ZVLW57,517
GWCZ97,422c
WDPS34,356n
CZPD84,514
ZGCR82,506e
TWRS80,B06
PWCF99,E03
YHZC44,I04e
FDXL66,385
PTXY55,C13
CWJH10,410
ZDLH49,321
CKLG62,405c
SLVP95,E11
ZDTX42,120
FCBV14,B24
WTKP39,203c
GSDY61,423
ZYTT98,J03
FPYP47,C02
DWTX48,C22
FDWK92,101
JTWT84,C12
PSST31,409
YHCK48,I10
PRLB27,B32
TXJK19,211c
HKPK50,J06
PXCZ20,D20
TPHK42,405c
XKDL97,B12c
LBGS88,201e
TYDC49,211
YRLZ29,315e
CDKY38,221e
HXXJ10,429
SYJJ72,C02
TPYV58,106
JCDW54,116
GRRC87,C01
LGTL24,514c
CKZV49,272
FXSG11,I03c
YXYR32,413c
HHKS76,H03
TVWD53,204e
PLLW90,G12
VGCD57,F10c
ZVXV68,411
BRZG54,307
LLTS82,C18
PLPP42,301
WPWH11,119
RLFP85,314c
YXGX63,B14
HHXF14,314
HSYR80,I14n
FLKD12,F09
YRZL61,105
HWJR84,E08
DZWW70,315e
YFHJ20,C20
XJHB15,C10e
WLPW88,E05
STFD88,B12
RCFT68,110c
ZWPX29,221e
RBTW73,F10c
YLRD95,E07
TWRY19,227
PSPK64,D14
TLTC17,F12
SGYK40,G08v
ZJBP15,385
YDPV56,111
TVVT73,262n
FRBF62,F01c
TTPD98,307e
BKHD79,408
XDCC44,I03
WWTY65,B28
GLKC89,504
JTTK50,E09
XLVD27,303e
HFVF51,C05
DCPR26,107c
KGRZ94,H14
LXFW20,404
HBGS22,301c
SFZW14,B06
ZJFJ67,D09
KXVR87,116
JZSY19,J07c
KSPX18,420e
GSXC62,E12
JFBD17,B28
GFVX10,B10
WLSF78,B19
TYXW62,507c
KWGL97,E15c
STFR99,422
DFJW54,426
WRVP24,H04
HVKJ53,506e
HFJP89,385
THLB93,B12c
WHPD44,428e
CBBC29,105c
GGYB82,125
XYBC33,208
FBJW46,C11
ZYBR46,J02
LRTW95,211c
YCWS92,I10n
LFVV27,B18e
CSTL49,541n
KJHH16,D07c
YDCD83,208
XTKJ78,D17v
BPCV51,C10e
LJHH65,217e
KPLC69,H04
DDWG15,B29
SZKZ55,B04
THZC98,H13
KSVX88,F01
XZGL36,506e
PYKK34,J10
RRSV78,B11
DCZY57,B08
HCHR23,B23
JWZY45,E17
LJPH17,G04
LLVB43,219e
WPRR48,I04c
RZFW89,G05
BJHK20,D13
LXWD97,118
KRLH20,322
BXSW72,428c
RDSX33,121
YWWJ74,B21
VWWG77,C14
CTVV61,514c
RWZD13,I07
GXDY92,I09c
DXPW47,F30
JDTP84,203n
LRTB65,J05
VFWS48,F12
YVGC59,C05
WJRT57,J15c
BDCY83,I03c
CGLL89,C01
VLKP65,207c
CYXT81,I01
YRSB20,203n
JHGV27,I07
KKFD54,424
XVFC65,345
YZXZ25,G23
VVST78,E16
FWPB26,506e
KXWT78,121
HWGB59,201e
SKGV92,216
CGZB73,301c2
CXZG57,406
WBTT25,C10e
ZJRD90,C03c
HRRL62,C15
GWTH71,I21
VVRT48,114
ZGDR21,329
DCCY69,C06
BWST79,H12
KLDH66,J02
TJTT30,229
YZRT31,C18
SHZP84,J13
KHDJ42,404c
FDJX85,508
TSJR90,F20
WPCF82,F10c
WGXK21,329
CYZG80,101
VLHD96,541n
THYC19,513
JVVH17,D07
PBSV30,C01c
ZJZK33,502c
CJLF10,509
ZCRT89,203c
VFVH94,405c
JWDY29,110
ZFDP33,E04
FJLX64,B28
PZSH39,B05
YYXJ31,204
FHVF74,J07c
YHKZ50,217e
RFJY12,I10
DZFY61,G15
JVRF31,I04e
CGDF70,F01c
PKCB39,115
JYFB66,J15c
GSLY78,212
JSWB91,G16
RSHC24,519
XGRP33,D14
GBXG10,F25
JLYB27,210v
GPCD98,302n
FPYT76,C03
WLZK10,I18
ZTYF81,I05
CCJJ76,B17
FBHH47,I21
TLLB22,G12
SSHP64,E09
CCFZ69,B10
SVDL67,204
THGJ59,I16
WVWL63,345
KTBD90,210
ZHTY64,H14
LHJZ55,I08c
PWFK74,431c
GYRB71,H06
ZVJL18,405
FRBV90,126
LXWC30,H06
JCBZ65,F12c
JVKS27,G02
KBCJ34,504
KBHW81,E06
DCRF81,323
LLPD52,F07
DCGF85,308c
XJBH13,264n
DSVJ23,411
JYBR60,314
VJVD41,D14
BVHH76,323
WFRG46,229
XPFJ83,I18
WKLJ62,503
RYFD15,118
JGSV71,C19
WKGW74,412
SSTZ40,I04c
SBJD75,405c
ZCFD89,502c
DVFD52,C17
ZFSS24,221e
JPTR49,210v
HJBF19,412
XSTG87,120
YTBP89,J16
LJHD20,I03c
ZCTF42,C07
BXFP29,I01
LFRY45,J18
CXGL84,206
ZWRD12,486
WXRG59,F01
RRKG60,208
TFFV49,412
PYZS78,430
DSPH56,430
WSYW16,F27
PKVZ28,307e
HKVV92,I25
WZFJ18,C18
PLCS56,345
JYZD26,B10
TZYZ89,J05
FDGK97,307e
JTJT56,E09
TGVD63,414e
FDDY75,I01
CDLP87,I21
JFBX84,119
VYBV25,323
GGZF84,517
DRTG14,B15
HDBJ13,105c
WSDX70,506
YXTX38,506
FCRT80,211
DYDF94,J07c
PDSK96,D17
KWFB37,C03c
GWPB82,486
VLFG19,223
SFLV14,J15c
ZXRZ20,303e
RBSW68,F14
BZPV24,712n
TXKG75,F02
PGBZ47,B10
WSVT92,F07
TDZV55,405
FTTH78,B05
VVZS39,517
PYHX21,504
LJSS47,F12
FSZS19,J18
WRLB10,G15
KGKG34,206
YJYT14,C05
KBKD88,D09
FCDP59,425
GJCX59,407
JJHR62,329
BGSX54,H03
SLRX19,113e
FSVB69,481
YGDV19,C02
PRDR74,D17
LDBJ42,E13
GJTB92,504
BHDR48,210v
CDWD80,314
DHPJ50,207
BCKX17,204
GYSS30,J06
LGSC38,I16
RJPB30,B26
SDLF55,F26
SDKD26,C14
KGHP64,106
TSYH23,J13
FWPK31,207e
TFBF27,G02
SZDR24,404c
HGJS39,110
BJBP39,385
DBZH17,385
DVGH91,B07
BHCG58,G09
RPLF25,109n
BZWC86,F02
LFGZ84,412
TDJC66,B26
JVTY12,329
XBKG95,B03
XTFL49,519
WDKG82,119
DYZV56,325
LCYW36,D17
PRSY49,I24
LVTS35,B04
ZVTW63,B21
KLFT83,D15
PBRW86,B25
ZHHS42,J05
KSJS88,G13
FTBW61,E13
BVJW54,229
DHCS82,C22
ZJWL28,404c
SZJV53,503
WYZP97,F14
GKTG67,D08
RLZV35,I01
LSVT39,203
LKXJ16,410e
DXDK19,219e
RDJR60,G23
XDPG36,C09
SHRD56,I02
LJXV70,C06
XJGP94,513
HZZW64,J01c
DGHD70,406c
GBGP99,G14
WZSY30,J18c
WTXT17,385
XRFY17,I07
LRCS31,B27
JGKY35,113
LPGF68,214
XDBV86,D11
BDDY63,F25e
PPVZ26,107
FFKY73,314
HRYW26,F05
SRVY55,321
XHDP54,501
PYHZ86,119
RPDL44,E14
HHKZ81,E07
LCXS76,I13
KXXG52,G13
WYYG91,J13
TLGB97,315e
YGBY26,223
VZYG79,385
GLJB47,D10
BGJV65,422
YWSH74,D08
GKDK52,C03
WFDZ84,212
KHVW64,H08
PSBF68,F13
LSLD74,507
LDTD84,203
RYBV54,C17
DVBH48,I08c
BPCK97,J08
HZBS41,F14
JTKV39,F30
GHSZ57,547e
CYRV65,I08c
SKCP92,486
YCGC27,D07
HDCK30,F10c
RXPS48,E16
XRCL90,C03c
VZFD32,I02
RPVY12,C03c
FBBL62,414e
SFLY68,E08
CLKD96,B12c
KFZR78,109
SLPP49,I10n
FBJV86,G05
WDYJ43,508
ZSFS59,B27
WSLR91,301c2
VHJJ89,432n
PBRV87,D03c
TFXW36,228
RFYW10,325
VFLP61,B31n
FSPV64,404c
XXPK70,G16
RLZZ70,F08
KXGR44,B26
BHFZ92,I12
JRXL34,712n
VSCP11,B31n
DVCD73,507c
SLZX53,I08n
RVKX73,D15
YYVS79,501
FVYP98,I21
CRKT74,J06
GLFK45,517
XVXR25,506e
SFKR36,G05
PBWH43,502c
JWLH95,117c
DCLB40,C18
DPKJ24,429c
RDYY30,G11
BBCZ30,424
KVPF34,I08
SBFJ47,B03
LCKZ18,514
VSZV51,F30
VDXF20,B21
VLYF61,503
ZLFY22,I05
VBCW18,322
WZBF25,212
XBJD25,I10
YXPG67,D14
XZPK11,H05
LVBR53,120
WWJD61,406c
PJZT51,G02
WCTC43,B23
XCKF77,I22
CFYL29,428
KJKY58,217e
LYHB81,C02
LZTX50,110
KYVX64,503
XJTK28,216
ZHBB70,422
VXWY68,B06
VWCX66,B23
BVYH38,418
CCGW28,345
WWJX83,D10
RBXP88,F29
TRPZ73,216
SGGT57,307
FCCF78,203
FZVH93,226
JXVD25,203
XWBL98,211
SWBR19,H03
GBJH89,B25
TPKB89,504
TVCJ35,I03c
YJRL21,B02n
WXXR38,D07c
ZRDX23,C22
PTVX56,110c
FKRR12,224c
RCBS72,428c
BYCL93,C12
PWVZ30,517
RKPD89,F24
TKTP13,422c
DVYB52,B01
ZLSF17,414e
DDCY89,G12
TPFV42,I21
SWHX62,F26
FVCX82,G15
LTTJ11,B31n
XKCW61,H13
JPRF84,I10
PSBR33,F29
RPTX50,D02
XCVD83,B22
FTYX58,435
BDHW62,111
VCSG49,I08
YPXX31,I03
HRXY44,F19
SXJJ64,B20
JJYR40,B20
JXYD47,219e
RKLS44,405c
TKZT35,J18
BJGG46,219e
ZXDG41,401c
BVBH28,117
KGBZ48,C08
PFFG72,J2
VTYZ25,B28
SGVH96,I08
FRCP55,I11
LZRT76,E04
VGDL47,203
ZFRR82,419
JHBC69,C16
KHRW71,428
SPGH67,104
HYYP26,F08
SSLH48,504
XJKK52,G11
ZCYZ17,B13
LWXR18,B07
KBFK76,303e
RLPC26,321
FWJR82,503
TTCY87,I08c
DPFH41,I14
XFZB82,517
FBZF44,518
YKRF79,119
VSCF71,F08
SJCK34,F05
TVRZ18,217e
KJPF89,F12
BDHS14,712n
VLJK29,B32
BKHT74,I11
WJTL93,481
LXRS19,313e
CSBB66,C20
LTYP68,419
TFTK59,507
JTGH50,307
FBXG21,385
KPJY87,F15
FSRK50,421
PSWS80,345
LSWR96,D15
CFSC47,F13c
WDBR89,C20
TXXS88,B11
DFPH10,507
YRXY74,G08
CYPV30,517
TFZK65,I20
ZJLY35,C20
FFGF95,E08
TDPR88,B01
BRWY14,507
HHJB25,J02
ZGCP48,B21
LSYJ65,J16
DYFW81,418
JBDW37,I14n
LDWZ95,117
DWRC93,213e
JLYY44,B02n
FLBT29,J04
LFVJ82,117c
TKFP88,J01
DZLB16,F16
WPJR58,C03c
YJBW70,C09
ZBTX59,405
HBDV35,E07
XLFZ93,117
XRBB41,C15
VFJY26,314c
YVDD29,407
VHBW22,D15
VCDW50,I12
VKDP84,I09
RJRB90,508
PLPV61,411
RHVJ39,514c
ZJDG81,225
FKWC70,J11
GJYR35,F01c
RGLJ67,107
VSZT31,117c
FDDB53,116
BJSL12,J03
HVBP48,323
KXKC13,B29
WYVT54,111
GDXL36,B17
RWLB32,428e
LJFL78,105c
FVZW69,209
HYJC68,111
HFLT66,208c
RSJY96,B28
VKZR13,213e
SFKR25,F05
BCHW68,213e
FJCK87,J02
VRRC78,I12
VRZG43,C11
PFXB33,514
GFPD29,B08
CBJB70,E05
TJZS41,F10c
ZYJT44,B23
XGCW94,B09
LJYV55,502
FJJJ32,411
CLYL80,506e
YGVD28,J13
SVSD78,428e
DZJL54,204n
BDRR53,207e
FFKJ11,B07
RLGP63,G05
SFYH95,425
PDVX86,107c
RTTH21,221e
DHHZ62,502c
SKGG14,547e
CYKJ39,302e
JHRP16,211
YKJT43,D10
ZSGY24,417e
LGBC96,211
ZJWV18,H14
DCRL87,B12
LSBC65,H09
DTHX47,105
TDKW26,G07
PTTP62,B08
VWZR91,F26
BJFC24,507c
VTTZ61,121
YRHK41,507
FZSH61,408e
JJLZ70,415e
XHKH42,514
TJXZ65,203e
ZLKP23,117c
CSZP95,B18e
ZPZY62,G01c
RPHP36,419
WDSY29,214
HPGV97,B21
LVXG73,307
YKYH19,J13
HJCB42,C16
GKTR87,426
GYWH61,J2
VTBG23,431c
CVPY30,G01c
WZPJ83,D17v
LTPB97,B16
BRVX62,F05
BFXD92,G01
BSCC41,J11
VXCD41,C09
VXTB70,F13c
WKGZ91,114
PYTV65,J11
LFPB28,501
TBTK89,408
CYCP52,111
DZXG99,B02
VSFB96,514
CYJG37,205c
DLWT24,410
KGHW61,E05
PGKX42,C03
LFSG81,481
BFRT86,B31n
TJYW33,J16
CBXT50,G05
HTZZ63,303e
WFZD47,B25
KDLX22,H14
RVHP35,110c
VRBJ13,H08
HCSZ67,105
XWLX91,224c
TFDJ51,B18
XTGS46,D03
WBXT49,F01
HZBF28,C05
ZJSB52,429
KKLJ65,I10n
SBKD92,321
SRWX96,E08
VRHB19,514c
SVYZ17,B08
GRRD78,C10e
WFCW60,207c
PCGB28,J05
TWXD44,I24
